Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
75,Node_I,0.09249,-3.936766,-0.420133,4.740687,8.566085,-42.583477,Node_J,-0.09249,3.936766,0.420133,-4.740687,20.876286,-233.30011
76,Node_I,0.124828,1.681234,0.226737,-92.130569,-10.904912,55.873917,Node_J,-0.124828,-1.681234,-0.226737,92.130569,-10.51907,102.982803
77,Node_I,0.519859,0.514735,0.111829,52.510792,-10.252295,86.724419,Node_J,-0.519859,-0.514735,-0.111829,-52.510792,-9.207684,2.84764
78,Node_I,-0.033984,-5.130506,-0.283206,-24.516232,14.183793,-53.346703,Node_J,0.033984,5.130506,0.283206,24.516232,12.018378,-421.32608
79,Node_I,0.236653,0.39258,0.145813,-0.821195,-4.97611,21.776768,Node_J,-0.236653,-0.39258,-0.145813,0.821195,-8.801525,15.317451
80,Node_I,0.145813,-1.546172,-0.236653,-15.30195,8.801525,0.806478,Node_J,-0.145813,1.546172,0.236653,15.30195,13.093513,-143.857803
81,Node_I,11.295203,-0.660306,-0.196734,3.157206,10.958467,-25.519154,Node_J,-11.295203,0.660306,0.196734,-3.157206,9.954173,-44.670895
82,Node_I,27.862005,-0.159746,-0.253258,2.136628,18.565723,-8.483619,Node_J,-27.862005,0.159746,0.253258,-2.136628,8.355441,-8.497261
83,Node_I,36.498833,-0.376953,-1.502912,-1.341613,68.786102,-1.545087,Node_J,-36.498833,0.376953,1.502912,1.341613,90.972321,-38.524727
84,Node_I,12.803248,1.872389,-1.136702,-0.019368,56.161327,36.048542,Node_J,-12.803248,-1.872389,1.136702,0.019368,64.669174,162.985001
85,Node_I,34.961971,2.19991,0.697657,-4.65325,-34.602108,48.889603,Node_J,-34.961971,-2.19991,-0.697657,4.65325,-39.558292,184.959152
86,Node_I,50.39455,0.606339,1.667319,-9.569717,-96.982918,44.795544,Node_J,-50.39455,-0.606339,-1.667319,9.569717,-80.251839,19.657852
87,Node_I,4.694452,-1.209217,1.737522,-8.800573,-89.64595,-60.445545,Node_J,-4.694452,1.209217,-1.737522,8.800573,-95.0513,-68.093262
88,Node_I,-0.483327,-2.254324,-0.013332,1.844865,-0.060979,-125.904755,Node_J,0.483327,2.254324,0.013332,-1.844865,2.422965,-273.483368
89,Node_I,-0.384948,5.193474,0.016574,32.19252,-1.115378,416.795258,Node_J,0.384948,-5.193474,-0.016574,-32.19252,-1.266318,329.511017
90,Node_I,-0.190692,-1.42625,0.265678,75.02906,-19.337357,-121.370331,Node_J,0.190692,1.42625,-0.265678,-75.02906,-5.243072,-10.585863
91,Node_I,-0.571304,0.101901,-0.4391,-25.878441,17.72319,16.03924,Node_J,0.571304,-0.101901,0.4391,25.878441,23.766586,-6.410802
92,Node_I,-0.4391,-2.093133,0.571304,6.428341,-23.766586,25.861769,Node_J,0.4391,2.093133,-0.571304,-6.428341,-29.090298,-219.517822
93,Node_I,0.551059,-2.957754,-0.491264,-56.236168,25.460989,-204.41217,Node_J,-0.551059,2.957754,0.491264,56.236168,20.957693,-75.060623
94,Node_I,0.033621,-0.222768,0.02246,3.277599,-3.322272,-27.031237,Node_J,-0.033621,0.222768,-0.02246,-3.277599,-0.656942,-12.435478
95,Node_I,0.25162,-5.164569,0.712901,-8.263968,-34.586765,-59.391674,Node_J,-0.25162,5.164569,-0.712901,8.263968,-31.370636,-418.432587
96,Node_I,-0.111825,-2.321651,0.080924,51.741955,-2.574444,-87.688202,Node_J,0.111825,2.321651,-0.080924,-51.741955,-5.071902,-131.680344
97,Node_I,7.257599,-1.549883,0.378172,-2.845713,-17.298489,-23.282618,Node_J,-7.257599,1.549883,-0.378172,2.845713,-22.900925,-141.468781
98,Node_I,0.265678,-4.900447,0.190692,10.595638,5.243072,-75.130676,Node_J,-0.265678,4.900447,-0.190692,-10.595638,-18.60656,-268.286499
